OverviewPage,DateStart,Date,Region,Country,EventType,League,DateStart__precision,Date__precision
VCS/2023 Season/Summer Playoffs,2023-08-12,2023-09-09,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2023 Season/Summer Season,2023-06-23,2023-08-06,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2024 Season/Spring Playoffs,2024-04-03,2024-04-07,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2024 Season/Spring Promotion,2023-11-13,2023-11-18,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2024 Season/Spring Season,2024-01-20,2024-03-10,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2024 Season/Summer Playoffs,2024-08-07,2024-08-18,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCS/2024 Season/Summer Season,2024-06-21,2024-08-04,Vietnam,Vietnam,Offline,Vietnam Championship Series,1,1
VCSB/2021 Season/Summer Season,2021-05-13,2021-05-16,Vietnam,Vietnam,,Vietnam Championship Series B,1,1
VCSB/2022 Season/Summer Season,2022-04-27,2022-05-01,Vietnam,Vietnam,,Vietnam Championship Series B,1,1
Vệ Binh Ánh Sáng 2v2,2021-07-23,2021-08-01,Vietnam,Vietnam,,Garena,1,1
Vegas League/Season 1,2021-09-23,2021-10-02,Vietnam,Vietnam,Online,,1,1
Victory LAN 2019,2019-11-29,2019-11-30,Europe,Belgium,Offline,Victory LAN,1,1
Vienna Challenger Arena,,,Europe,Austria,,,,
Vietnam Campus Championship/2018 Season 2,2018-10-13,2018-11-18,Vietnam,Vietnam,,Garena,1,1
Vietnam Esports Championship/Season 1,,,Vietnam,Vietnam,,VIRESA,,
Vietnam GameK Challenger Season 1,2015-05-31,2015-05-31,Vietnam,Vietnam,Offline,,1,1
Vietnam GameK Challenger Season 2,2015-10-12,2015-10-12,Vietnam,Vietnam,Offline,,1,1
